Cage,Strain,AnimalName,Parameter,Width,Length,Sex
R06429,NOG,43164,Left,22.71805449,28.39756812,F
R06429,NOG,43164,Right,39.05201659,48.81502074,F
R06433,NOG,43170,Right,5.209606511,6.512008139,F
R06433,NOG,43170,Left,9.293546148,11.61693268,F
R06433,NOG,43171,Right,8.293973716,10.36746714,F
R06433,NOG,43171,Left,15.41849539,19.27311923,F
R06433,NOG,43172,Right,3.231098884,4.038873605,F
R06433,NOG,43172,Left,5.104899607,6.381124509,F
R06433,NOG,43173,Right,5.564171097,6.955213872,F
R06433,NOG,43173,Left,28.44046413,35.55058016,F
R06433,NOG,43174,Left,5.589275445,6.986594306,F
R06433,NOG,43174,Right,5.975784467,7.469730584,F
R06434,NOG,43175,Left,28.23508456,35.2938557,F
R06434,NOG,43175,Right,34.30014577,42.87518222,F
R06434,NOG,43176,Left,20.7197973,25.89974662,F
R06434,NOG,43176,Right,46.98755154,58.73443943,F
R06434,NOG,43178,Left,24.27859139,30.34823924,F
R06434,NOG,43178,Right,31.79308101,39.74135126,F
R06434,NOG,43179,Right,18.59623618,23.24529522,F
R06434,NOG,43179,Left,23.48105619,29.35132024,F
R06591,Athymic Nude,43220,Right,0,0,M
R06591,Athymic Nude,43220,Left,2.690724809,3.363406012,M
R06591,Athymic Nude,43221,Left,4.448595284,5.560744105,M
R06591,Athymic Nude,43221,Right,7.777531742,9.721914678,M
R06591,Athymic Nude,43222,Left,0,0,M
R06591,Athymic Nude,43222,Right,0,0,M
R06591,Athymic Nude,43223,Left,3.622154055,4.527692569,M
R06591,Athymic Nude,43223,Right,4.91426495,6.142831188,F
R06591,Athymic Nude,43224,Left,3.324154028,4.155192535,F
R06591,Athymic Nude,43224,Right,5.970762095,7.463452619,M
R06921,NOG,43245,Left,0,0,M
R06921,NOG,43245,Right,13.41752585,16.77190732,F
R06921,NOG,43246,Left,15.8230844,19.7788555,F
R06921,NOG,43246,Right,18.92696489,23.65870611,F
R06921,NOG,43247,Right,7.56306816,9.453835201,F
R06921,NOG,43247,Left,12.27640012,15.34550015,F
R06921,NOG,43248,Left,17.98721768,22.4840221,M
R06921,NOG,43248,Right,20.72727671,25.90909589,M
R06921,NOG,43249,Right,10.3951912,12.99398899,M
R06921,NOG,43249,Left,17.30577938,21.63222423,M
R06922,NOG,43250,Left,0,0,M
R06922,NOG,43250,Right,7.051241026,8.814051282,M
R06922,NOG,43251,Right,8.89156904,11.1144613,F
R06922,NOG,43251,Left,9.314504818,11.64313102,F
R06922,NOG,43252,Right,7.015696687,8.769620858,F
R06922,NOG,43252,Left,8.619744776,10.77468097,F
R06922,NOG,43253,Left,0,0,F
R06922,NOG,43253,Right,7.451174404,9.313968005,F
R06922,NOG,43254,Right,0,0,F
R06922,NOG,43254,Left,7.352550578,9.190688222,F
R06923,NOG,43255,Left,7.14422844,8.93028555,F
R06923,NOG,43255,Right,12.91433312,16.1429164,F
R06923,NOG,43257,Left,0,0,F
R06923,NOG,43257,Right,9.743202759,12.17900345,F
R06923,NOG,43258,Left,11.55075755,14.43844694,F
R06923,NOG,43258,Right,15.30490118,19.13112647,F
R06923,NOG,43259,Right,16.60572191,20.75715238,F
R06923,NOG,43259,Left,25.54251358,31.92814198,F
R06924,NOG,43297,Left,0,0,F
R06924,NOG,43297,Right,0,0,F
R06924,NOG,43298,Left,0,0,F
R06924,NOG,43298,Right,0,0,F
R06924,NOG,43299,Left,0,0,F
R06924,NOG,43299,Right,0,0,F
R06930,NOG,43260,Left,6.462197769,8.077747211,F
R06930,NOG,43260,Right,8.019975062,10.02496883,F
R06930,NOG,43262,Left,8.785214852,10.98151857,F
R06930,NOG,43262,Right,10.07571337,12.59464172,F
R06930,NOG,43263,Right,11.1269942,13.90874275,M
R06930,NOG,43263,Left,12.02497401,15.03121752,M
R06930,NOG,43264,Right,7.609862022,9.512327528,M
R06930,NOG,43264,Left,8.837986196,11.04748274,M
R06931,NOG,43265,Right,3.942080669,4.927600836,M
R06931,NOG,43265,Left,4.559605246,5.699506558,M
R06931,NOG,43266,Left,0,0,M
R06931,NOG,43266,Right,0,0,M
R06931,NOG,43267,Right,3.508560959,4.385701198,M
R06931,NOG,43267,Left,4.496665431,5.620831789,M
R06931,NOG,43268,Left,0,0,M
R06931,NOG,43268,Right,0,0,M
R06931,NOG,43269,Left,4.9979996,6.2474995,M
R06931,NOG,43269,Right,6.865857558,8.582321947,M
R06932,NOG,43270,Left,5.445181356,6.806476695,M
R06932,NOG,43270,Right,7.184010022,8.980012528,M
R06932,NOG,43271,Left,0,0,M
R06932,NOG,43271,Right,6.69925369,8.374067112,M
R06932,NOG,43273,Left,0,0,M
R06932,NOG,43273,Right,5.965735495,7.457169369,M
R06932,NOG,43274,Left,0,0,M
R06932,NOG,43274,Right,5.748043145,7.185053932,M
R06939,NOG,43275,Right,5.137119816,6.42139977,M
R06939,NOG,43275,Left,6.236184731,7.795230914,M
R06939,NOG,43276,Left,0,0,M
R06939,NOG,43276,Right,0,0,M
R06939,NOG,43277,Right,5.165268628,6.456585785,M
R06939,NOG,43277,Left,12.57656551,15.72070689,M
R06939,NOG,43278,Left,0,0,M
R06939,NOG,43278,Right,6.313477647,7.891847059,M
R06939,NOG,43279,Left,5.622277119,7.027846398,M
R06939,NOG,43279,Right,5.626721959,7.033402448,F
R06940,NOG,43294,Left,0,0,F
R06940,NOG,43294,Right,0,0,F
R06940,NOG,43295,Left,0,0,F
R06940,NOG,43295,Right,0,0,F
R06940,NOG,43296,Left,0,0,F
R06940,NOG,43296,Right,0,0,F
